page,route,room,pov,allowed_environment_themes,ui_theme_compatibility,role_state,physical_ui_objects,responsive_state,data_surface,access_policy,security_authority,public_projection,camera_security_boundary,responsive_gate,deployment_gate,animation_profile,object_state_contract,responsive_transform_root
login,login.html,LOGIN ROOM,L-04,"day,night,rain,mist",environment-driven; no fixed light/dark branch,public,login-registration-doorway,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,auth entry + phone availability,public/auth-entry,Auth + callable authority + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-field
login,login.html,LOGIN ROOM,L-05,"day,night,rain,mist",environment-driven; no fixed light/dark branch,public,login-credits-wall,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,auth entry + phone availability,public/auth-entry,Auth + callable authority + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-field
register,register.html,REGISTER ROOM,R-01,"day,sunset,mist",environment-driven; no fixed light/dark branch,public,register-submit-console,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,account creation + phone availability,public/auth-entry,Auth + users owner-write rules + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-action
register,register.html,REGISTER ROOM,R-02,"day,sunset,mist",environment-driven; no fixed light/dark branch,public,register-contact-station,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,account creation + phone availability,public/auth-entry,Auth + users owner-write rules + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-field
register,register.html,REGISTER ROOM,R-03,"day,sunset,mist",environment-driven; no fixed light/dark branch,public,register-confirmation-station,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,account creation + phone availability,public/auth-entry,Auth + users owner-write rules + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-field
register,register.html,REGISTER ROOM,R-04,"day,sunset,mist",environment-driven; no fixed light/dark branch,public,register-account-type-station,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,account creation + phone availability,public/auth-entry,Auth + users owner-write rules + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-choice
register,register.html,REGISTER ROOM,R-05,"day,sunset,mist",environment-driven; no fixed light/dark branch,public,register-password-station,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,account creation + phone availability,public/auth-entry,Auth + users owner-write rules + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-field
register,register.html,REGISTER ROOM,R-06,"day,sunset,mist",environment-driven; no fixed light/dark branch,public,register-social-terminal,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,account creation + phone availability,public/auth-entry,Auth + users owner-write rules + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-social
register,register.html,REGISTER ROOM,R-07,"day,sunset,mist",environment-driven; no fixed light/dark branch,public,register-login-doorway,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,account creation + phone availability,public/auth-entry,Auth + users owner-write rules + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-route
market,market.html,MARKET,M-01,"day,sunset,night,rain,mist",environment-driven; no fixed light/dark branch,"guest,seeker,owner",market-directory,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,propertyListings/wantedListings + publicProfiles,public/seeker/broker,Firestore rules + market callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
market,market.html,MARKET,M-02,"day,sunset,night,rain,mist",environment-driven; no fixed light/dark branch,"guest,seeker,owner",market-map-table,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,propertyListings/wantedListings + publicProfiles,public/seeker/broker,Firestore rules + market callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
market,market.html,MARKET,M-04,"day,sunset,night,rain,mist",environment-driven; no fixed light/dark branch,"guest,seeker,owner",property-display-wall|wanted-display-wall,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,propertyListings/wantedListings + publicProfiles,public/seeker/broker,Firestore rules + market callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
market,market.html,MARKET,M-06,"day,sunset,night,rain,mist",environment-driven; no fixed light/dark branch,"guest,seeker,owner",market-contact-desk,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,propertyListings/wantedListings + publicProfiles,public/seeker/broker,Firestore rules + market callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
profile,profile.html,PROFILE SUITE,P-01,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",perk-portfolio-display|paypal-subscription-console,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
profile,profile.html,PROFILE SUITE,P-02,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",message-terminal,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
profile,profile.html,PROFILE SUITE,P-03,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",contracts-folder,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
profile,profile.html,PROFILE SUITE,P-04,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",help-desk,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
profile,profile.html,PROFILE SUITE,P-05,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",listing-book,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
profile,profile.html,PROFILE SUITE,P-06,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",wanted-notebook,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
profile,profile.html,PROFILE SUITE,P-07,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",saved-properties-cabinet,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
profile,profile.html,PROFILE SUITE,P-08,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",saved-wanted-cabinet,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
profile,profile.html,PROFILE SUITE,P-09,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",review-ledger,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
