pov_id,section,physical_object_id,camera_anchor,allowed_environment_themes,ui_theme_compatibility,role_states,responsive_behavior,fallback,camera_boundary,status,visual_verification
H-08,pages,safety-board,directory|feature-wall|quiet,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=safety notices stack and remain immediately readable ; mobile-landscape=compact board with no clipped warnings ; tablet=adaptive safety grid ; desktop=full safety-board framing ; wide-desktop=preserve warning hierarchy ; reduced-motion=no animated focus movement,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-08,features,safety-board,directory|feature-wall|quiet,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=safety notices stack and remain immediately readable ; mobile-landscape=compact board with no clipped warnings ; tablet=adaptive safety grid ; desktop=full safety-board framing ; wide-desktop=preserve warning hierarchy ; reduced-motion=no animated focus movement,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-08,safety,safety-board,directory|feature-wall|quiet,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=safety notices stack and remain immediately readable ; mobile-landscape=compact board with no clipped warnings ; tablet=adaptive safety grid ; desktop=full safety-board framing ; wide-desktop=preserve warning hierarchy ; reduced-motion=no animated focus movement,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-09,start,start-cta,center-return|exit|front-door-return,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=CTA/contact/credits stack with large touch targets ; mobile-landscape=compact horizontal actions ; tablet=balanced action row ; desktop=full exit/contact composition ; wide-desktop=preserve action hierarchy without stretching ; reduced-motion=instant/fade transition; no cinematic exit travel,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-09,contact,start-cta,center-return|exit|front-door-return,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=CTA/contact/credits stack with large touch targets ; mobile-landscape=compact horizontal actions ; tablet=balanced action row ; desktop=full exit/contact composition ; wide-desktop=preserve action hierarchy without stretching ; reduced-motion=instant/fade transition; no cinematic exit travel,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-09,credits,start-cta,center-return|exit|front-door-return,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=CTA/contact/credits stack with large touch targets ; mobile-landscape=compact horizontal actions ; tablet=balanced action row ; desktop=full exit/contact composition ; wide-desktop=preserve action hierarchy without stretching ; reduced-motion=instant/fade transition; no cinematic exit travel,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-09,start,contact-desk,center-return|exit|front-door-return,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=CTA/contact/credits stack with large touch targets ; mobile-landscape=compact horizontal actions ; tablet=balanced action row ; desktop=full exit/contact composition ; wide-desktop=preserve action hierarchy without stretching ; reduced-motion=instant/fade transition; no cinematic exit travel,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-09,contact,contact-desk,center-return|exit|front-door-return,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=CTA/contact/credits stack with large touch targets ; mobile-landscape=compact horizontal actions ; tablet=balanced action row ; desktop=full exit/contact composition ; wide-desktop=preserve action hierarchy without stretching ; reduced-motion=instant/fade transition; no cinematic exit travel,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-09,credits,contact-desk,center-return|exit|front-door-return,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=CTA/contact/credits stack with large touch targets ; mobile-landscape=compact horizontal actions ; tablet=balanced action row ; desktop=full exit/contact composition ; wide-desktop=preserve action hierarchy without stretching ; reduced-motion=instant/fade transition; no cinematic exit travel,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-09,start,credits-wall,center-return|exit|front-door-return,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=CTA/contact/credits stack with large touch targets ; mobile-landscape=compact horizontal actions ; tablet=balanced action row ; desktop=full exit/contact composition ; wide-desktop=preserve action hierarchy without stretching ; reduced-motion=instant/fade transition; no cinematic exit travel,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-09,contact,credits-wall,center-return|exit|front-door-return,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=CTA/contact/credits stack with large touch targets ; mobile-landscape=compact horizontal actions ; tablet=balanced action row ; desktop=full exit/contact composition ; wide-desktop=preserve action hierarchy without stretching ; reduced-motion=instant/fade transition; no cinematic exit travel,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-09,credits,credits-wall,center-return|exit|front-door-return,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=CTA/contact/credits stack with large touch targets ; mobile-landscape=compact horizontal actions ; tablet=balanced action row ; desktop=full exit/contact composition ; wide-desktop=preserve action hierarchy without stretching ; reduced-motion=instant/fade transition; no cinematic exit travel,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
