room_id,room_name,level,area,center_x,center_y,candidate_house,candidate_role,rationale
room-0a1ad566-5f81-45cd-bb67-9f6eb4500a6f,,1st floor,10636.02365581866,5465.218409040102,30.292164180046953,HOUSE_3_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-76793eb2-7e23-4c58-bf1b-7b69874e8fed,Kitchen,1st floor,224065.04089165997,3095.093718617625,167.28438818004696,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-c2c4647b-7c30-4db6-b549-4bc6c2a8fb38,,1st floor,184105.2023111932,2965.6812336176254,654.2757341800469,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-4d9459c1-0143-4d9d-a353-3a8beb959a78,Office,1st floor,287027.7364962803,3935.5934126176253,762.047189180047,HOUSE_2_CANDIDATE,Broker HQ primary presentation candidate,Explicit Office room; strong semantic fit for Broker HQ and sufficient area.
room-c7481146-baa3-4706-b8ca-85c6bb7d1201,Terrace,1st floor,418484.41562853055,3485.924876117625,1129.0581741800468,HOUSE_2_CANDIDATE,Non-primary presentation / environmental support,Large open zone; useful only if later topology and presentation requirements justify it.
room-6530c4e3-46ae-4540-8450-058d3e106505,,1st floor,354405.1716190043,3739.0311976176254,453.928463680047,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-66035ea2-1de4-44b8-8ef2-0242ef84887d,,1st floor,22047.12592035212,3972.819127617625,233.43732418004697,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-ced5384e-1aa3-4c9e-9b11-8d6121d3d3fc,,1st floor,103981.65796161868,3937.4664276176254,51.291839180046956,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-99f984e8-2050-422a-a6da-40fd6226fbdd,,1st floor,285804.8036955476,3603.0922526176255,1129.091174180047,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-158b9d7d-c9b2-4942-9746-4f62dc161be4,Living room,1st floor,473669.0244920418,3242.3965141176254,654.143969180047,HOUSE_2_CANDIDATE,Operations / Broker shared presentation candidate,Large presentation-capable room; supports multiple UI states without one-object-per-UI allocation.
room-77fa9dd9-7174-4e1c-9dda-79ef068a1462,Hall,1st floor,238543.3591039629,3780.493627617625,214.58782368004697,HOUSE_2_CANDIDATE,House 2 arrival / shared presentation candidate,"Explicit Hall; plausible shared transition/presentation anchor, subject to door validation."
room-699e0b87-0a34-4208-8905-9b3bb84e868a,Terrace,2nd floor,172025.39536343305,2957.6941186176255,659.184444180047,HOUSE_2_CANDIDATE,Non-primary presentation / environmental support,Large open zone; useful only if later topology and presentation requirements justify it.
room-6f505a63-50ca-4435-9766-a62e54e958c1,,2nd floor,34939.12178325467,3292.2204376176255,260.52333918004695,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,,2nd floor,406791.6166934794,3651.0922526176255,624.537161680047,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-d459f24e-bbca-48ff-ad88-c50674e50e39,,2nd floor,580982.4783785535,3651.0812026176254,624.537211680047,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-6f79bf57-f4f5-4c84-933d-a5e7ca5d26b5,Bedroom #2,2nd floor,259079.0759130473,3814.9844026176256,416.19366418004694,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-58f3c3ca-277f-41ed-831a-e1426d8b60e0,Roof,2nd floor,44047.21682500071,4149.481227617625,853.819224180047,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-6863208d-813d-43d1-abc8-57a25ee05cbc,Balcony,2nd floor,13826.759309064131,4147.953127617626,542.5687391800469,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-fcd2b52d-f1f1-497b-88d7-31252f85894d,Dressing,2nd floor,23709.2613566895,3621.428752617626,1176.840524180047,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-9e32eabd-ac27-4042-939e-b7d3eca9f4ae,Bedroom #1,2nd floor,133929.0005831523,3815.618727617625,1120.061604180047,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-844b8e87-2277-4b87-a70c-3b1a37705ebb,Bathroom,2nd floor,126206.66269775946,3815.6184276176255,816.3949591800468,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-c8146434-9569-4080-8d3a-350d81aef4e9,,2nd floor,18933.720258035464,3644.9434026176255,905.2399541800469,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-10a152bd-27fe-44ea-9b99-46cc26fa6ee8,Bedroom #3,2nd floor,186576.0518241535,3091.0812636176256,167.35613668004694,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-df7d6b84-9466-46a6-8046-ca274bb057b0,Roof,Attic,1540429.8409572137,3486.0812031176256,624.690612180047,HOUSE_2_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
