element_type,element_id,attribute,reference,name,present
doorOrWindow,doorOrWindow-1b754483-335b-4f4d-ae15-dc2452c9ac0a,model,82/fixedWindow85x123.obj,Fixed window,True
doorOrWindow,doorOrWindow-1b754483-335b-4f4d-ae15-dc2452c9ac0a,icon,83,Fixed window,True
pieceOfFurniture,pieceOfFurniture-ca88a6a7-0ba6-4fd6-8e48-8a4599d2c833,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-ca88a6a7-0ba6-4fd6-8e48-8a4599d2c833,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-d6b11f23-cffa-494b-a7b9-b1e35c258d49,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-d6b11f23-cffa-494b-a7b9-b1e35c258d49,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-1dcfe143-07ce-4a43-a04b-b2a8a99c1502,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-1dcfe143-07ce-4a43-a04b-b2a8a99c1502,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-bfabc85a-9a2c-4101-b91d-bf307107aef4,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-bfabc85a-9a2c-4101-b91d-bf307107aef4,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-74616e9d-4683-4181-8dda-c3bcb2be0c93,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-74616e9d-4683-4181-8dda-c3bcb2be0c93,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-5d7bc52f-014a-4c9f-98b3-3851ae2fe78d,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-5d7bc52f-014a-4c9f-98b3-3851ae2fe78d,icon,81,Box,True
doorOrWindow,doorOrWindow-65274cc8-2d6e-4508-b456-77220c653dcb,model,78/doubleFrenchWindow126x200.obj,Double French window,True
doorOrWindow,doorOrWindow-65274cc8-2d6e-4508-b456-77220c653dcb,icon,79,Double French window,True
doorOrWindow,doorOrWindow-16742a94-1ee8-4d5d-a177-81a17604f383,model,76/doubleWindow126x123.obj,Double small window,True
doorOrWindow,doorOrWindow-16742a94-1ee8-4d5d-a177-81a17604f383,icon,77,Double small window,True
doorOrWindow,doorOrWindow-9bed4823-2107-4a29-bed6-5a886b35ac28,model,76/doubleWindow126x123.obj,Double small window,True
doorOrWindow,doorOrWindow-9bed4823-2107-4a29-bed6-5a886b35ac28,icon,77,Double small window,True
doorOrWindow,doorOrWindow-754f2558-f704-4a5b-a32b-9bc3d84a24b3,model,78/doubleFrenchWindow126x200.obj,Double French window,True
doorOrWindow,doorOrWindow-754f2558-f704-4a5b-a32b-9bc3d84a24b3,icon,79,Double French window,True
doorOrWindow,doorOrWindow-d668d18d-bb8a-4a23-bab0-a665dcd66b69,model,78/doubleFrenchWindow126x200.obj,Double French window,True
doorOrWindow,doorOrWindow-d668d18d-bb8a-4a23-bab0-a665dcd66b69,icon,79,Double French window,True
doorOrWindow,doorOrWindow-f5aa788d-fbab-4eaf-902e-1baff5db9af0,model,74/door.obj,Door,True
doorOrWindow,doorOrWindow-f5aa788d-fbab-4eaf-902e-1baff5db9af0,icon,75,Door,True
doorOrWindow,doorOrWindow-1e0e398a-ad1d-45f5-8435-3b2c2463ef77,model,74/door.obj,Door,True
doorOrWindow,doorOrWindow-1e0e398a-ad1d-45f5-8435-3b2c2463ef77,icon,75,Door,True
doorOrWindow,doorOrWindow-ecde7105-ea92-4996-9804-1bc0587376aa,model,74/door.obj,Door,True
doorOrWindow,doorOrWindow-ecde7105-ea92-4996-9804-1bc0587376aa,icon,75,Door,True
pieceOfFurniture,pieceOfFurniture-4537e91a-3291-44c4-9936-3031aff59270,model,96/wardrobe.obj,Wardrobe,True
pieceOfFurniture,pieceOfFurniture-4537e91a-3291-44c4-9936-3031aff59270,icon,97,Wardrobe,True
pieceOfFurniture,pieceOfFurniture-ade015c0-fc29-4cb3-aa90-2aafae8c8100,model,72/kitchenCabinet.obj,Kitchen cabinet,True
pieceOfFurniture,pieceOfFurniture-ade015c0-fc29-4cb3-aa90-2aafae8c8100,icon,73,Kitchen cabinet,True
pieceOfFurniture,pieceOfFurniture-069177ef-7bec-40b7-9037-e81b8e98fc5c,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-069177ef-7bec-40b7-9037-e81b8e98fc5c,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-05ce03e1-a8ca-462c-9c41-7012e6e5e3fe,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-05ce03e1-a8ca-462c-9c41-7012e6e5e3fe,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-17594c69-ea7b-4118-9a81-5af9c23bf6be,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-17594c69-ea7b-4118-9a81-5af9c23bf6be,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-28ee3c51-d1a7-4aa0-a3d7-f301b2fdf86a,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-28ee3c51-d1a7-4aa0-a3d7-f301b2fdf86a,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-8aa67468-f881-4528-b191-127220a139cf,model,70/cooker.obj,Cooker,True
pieceOfFurniture,pieceOfFurniture-8aa67468-f881-4528-b191-127220a139cf,icon,71,Cooker,True
pieceOfFurniture,pieceOfFurniture-1f7e31e6-19d0-489b-b6e2-306314b1df03,model,68/fridgeFreezer.obj,Fridge & Freezer,True
pieceOfFurniture,pieceOfFurniture-1f7e31e6-19d0-489b-b6e2-306314b1df03,icon,69,Fridge & Freezer,True
pieceOfFurniture,pieceOfFurniture-03ab6d04-561d-463e-b6f6-8e12f01a41a8,model,66/sink.obj,Sink,True
pieceOfFurniture,pieceOfFurniture-03ab6d04-561d-463e-b6f6-8e12f01a41a8,icon,67,Sink,True
pieceOfFurniture,pieceOfFurniture-492c67ec-1559-40a6-82f3-529dcb90ec3e,model,64/chair.obj,Chair,True
pieceOfFurniture,pieceOfFurniture-492c67ec-1559-40a6-82f3-529dcb90ec3e,icon,65,Chair,True
pieceOfFurniture,pieceOfFurniture-70e20c75-ed13-4c21-bb67-8937c14fc37e,model,64/chair.obj,Chair,True
pieceOfFurniture,pieceOfFurniture-70e20c75-ed13-4c21-bb67-8937c14fc37e,icon,65,Chair,True
pieceOfFurniture,pieceOfFurniture-1fc99a79-42d7-43de-b906-4467f0667c66,model,64/chair.obj,Chair,True
pieceOfFurniture,pieceOfFurniture-1fc99a79-42d7-43de-b906-4467f0667c66,icon,65,Chair,True
pieceOfFurniture,pieceOfFurniture-fee4ed0c-cf17-4caa-8852-8a07fb997609,model,64/chair.obj,Chair,True
pieceOfFurniture,pieceOfFurniture-fee4ed0c-cf17-4caa-8852-8a07fb997609,icon,65,Chair,True
pieceOfFurniture,pieceOfFurniture-d77b2d15-6a53-4f0d-93f2-eb6e2a90e881,model,94/squareTable.obj,Square table,True
pieceOfFurniture,pieceOfFurniture-d77b2d15-6a53-4f0d-93f2-eb6e2a90e881,icon,95,Square table,True
light,light-dacec29c-85c3-4b52-bfbc-7ac12d53cd1f,model,62/pendantLamp.obj,Pendant lamp,True
light,light-dacec29c-85c3-4b52-bfbc-7ac12d53cd1f,icon,63,Pendant lamp,True
doorOrWindow,doorOrWindow-5f7a0b73-008b-439e-8877-87e9b4a54b86,model,82/fixedWindow85x123.obj,Fixed window,True
doorOrWindow,doorOrWindow-5f7a0b73-008b-439e-8877-87e9b4a54b86,icon,83,Fixed window,True
shelfUnit,shelfUnit-3e3a0ddb-11d1-494c-9fbe-ad4629015331,model,60/bedsideTable.obj,Bedside table,True
shelfUnit,shelfUnit-3e3a0ddb-11d1-494c-9fbe-ad4629015331,icon,61,Bedside table,True
texture,,image,93,Old wood,True
light,light-3fbf800d-6b41-43fd-9bf8-198cae53d7fa,model,58/floorUplight.obj,Floor uplight,True
light,light-3fbf800d-6b41-43fd-9bf8-198cae53d7fa,icon,59,Floor uplight,True
pieceOfFurniture,pieceOfFurniture-1feff01f-b19b-429e-aed6-04d5843f24b3,model,56/cornerSofa.obj,Corner sofa,True
pieceOfFurniture,pieceOfFurniture-1feff01f-b19b-429e-aed6-04d5843f24b3,icon,57,Corner sofa,True
pieceOfFurniture,pieceOfFurniture-205ba1d5-0454-4734-98c6-9a8a232fd50a,model,54/tvUnit.obj,TV unit,True
pieceOfFurniture,pieceOfFurniture-205ba1d5-0454-4734-98c6-9a8a232fd50a,icon,55,TV unit,True
texture,,image,93,Old wood,True
pieceOfFurniture,pieceOfFurniture-f119bd44-2c7d-439c-a729-4f82ca461306,model,64/chair.obj,Chair,True
pieceOfFurniture,pieceOfFurniture-f119bd44-2c7d-439c-a729-4f82ca461306,icon,65,Chair,True
texture,,image,93,Old wood,True
pieceOfFurniture,pieceOfFurniture-17e69668-b29c-46e2-bce6-72b76829802e,model,64/chair.obj,Chair,True
pieceOfFurniture,pieceOfFurniture-17e69668-b29c-46e2-bce6-72b76829802e,icon,65,Chair,True
texture,,image,93,Old wood,True
pieceOfFurniture,pieceOfFurniture-02cae19e-fd23-47e6-8edc-43aba9b92611,model,64/chair.obj,Chair,True
pieceOfFurniture,pieceOfFurniture-02cae19e-fd23-47e6-8edc-43aba9b92611,icon,65,Chair,True
texture,,image,93,Old wood,True
pieceOfFurniture,pieceOfFurniture-4fedd59d-24fc-4469-ab5e-90541a07d720,model,64/chair.obj,Chair,True
pieceOfFurniture,pieceOfFurniture-4fedd59d-24fc-4469-ab5e-90541a07d720,icon,65,Chair,True
texture,,image,93,Old wood,True
pieceOfFurniture,pieceOfFurniture-0147f8ed-0b18-44bf-854c-d22e65997eba,model,86/texturableCylinder0.obj,Cylinder,True
pieceOfFurniture,pieceOfFurniture-0147f8ed-0b18-44bf-854c-d22e65997eba,icon,87,Cylinder,True
texture,,image,53,Carpet with colored tiles,True
doorOrWindow,doorOrWindow-938d12b9-1442-450d-a55e-2739784378cd,model,74/door.obj,Door,True
doorOrWindow,doorOrWindow-938d12b9-1442-450d-a55e-2739784378cd,icon,75,Door,True
doorOrWindow,doorOrWindow-d1ae87a8-7c4f-4e34-9956-3f6f257f1cb5,model,74/door.obj,Door,True
doorOrWindow,doorOrWindow-d1ae87a8-7c4f-4e34-9956-3f6f257f1cb5,icon,75,Door,True
pieceOfFurniture,pieceOfFurniture-85d6e7b4-8e91-4a67-8c97-66d2a1c1472f,model,51/bed90x190.obj,Bed 90x190,True
pieceOfFurniture,pieceOfFurniture-85d6e7b4-8e91-4a67-8c97-66d2a1c1472f,icon,52,Bed 90x190,True
pieceOfFurniture,pieceOfFurniture-e1324c14-56a8-46fd-9d48-478897828c4b,model,96/wardrobe.obj,Wardrobe,True
pieceOfFurniture,pieceOfFurniture-e1324c14-56a8-46fd-9d48-478897828c4b,icon,97,Wardrobe,True
pieceOfFurniture,pieceOfFurniture-9f5f95df-b012-4ed8-ad6e-3fa4d625899c,model,72/kitchenCabinet.obj,Kitchen cabinet,True
pieceOfFurniture,pieceOfFurniture-9f5f95df-b012-4ed8-ad6e-3fa4d625899c,icon,73,Kitchen cabinet,True
light,light-69da1c4c-c565-4c2d-9dfc-6e29ccf0d9f1,model,49/workLamp.obj,Work lamp,True
light,light-69da1c4c-c565-4c2d-9dfc-6e29ccf0d9f1,icon,50,Work lamp,True
pieceOfFurniture,pieceOfFurniture-d9e6f3c6-dd67-4114-96b0-c6e91dba90f3,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-d9e6f3c6-dd67-4114-96b0-c6e91dba90f3,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-bebc0cf5-5b2b-4a93-a079-4397c91c5c93,model,47/stool.obj,Stool,True
pieceOfFurniture,pieceOfFurniture-bebc0cf5-5b2b-4a93-a079-4397c91c5c93,icon,48,Stool,True
pieceOfFurniture,pieceOfFurniture-7e4fe357-357f-42ad-93be-88394409500e,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-7e4fe357-357f-42ad-93be-88394409500e,icon,81,Box,True
light,light-a0b3308c-358e-477e-bd26-9663bdb9f118,model,49/workLamp.obj,Work lamp,True
light,light-a0b3308c-358e-477e-bd26-9663bdb9f118,icon,50,Work lamp,True
light,light-e16d76fb-5474-4d29-94de-7f503fa24ac4,model,62/pendantLamp.obj,Pendant lamp,True
light,light-e16d76fb-5474-4d29-94de-7f503fa24ac4,icon,63,Pendant lamp,True
doorOrWindow,doorOrWindow-35db7b57-58e3-4b1f-a5f9-56ea2cd978fb,model,82/fixedWindow85x123.obj,Fixed window,True
doorOrWindow,doorOrWindow-35db7b57-58e3-4b1f-a5f9-56ea2cd978fb,icon,83,Fixed window,True
pieceOfFurniture,pieceOfFurniture-73b0d135-9a78-45dd-8cf9-012782a4f95c,model,45/washbasinWithCabinet.obj,Washbasin with cabinet,True
pieceOfFurniture,pieceOfFurniture-73b0d135-9a78-45dd-8cf9-012782a4f95c,icon,46,Washbasin with cabinet,True
pieceOfFurniture,pieceOfFurniture-dbd61583-0b6b-494d-badb-98ac539ce774,model,43/fittedBath.obj,Fitted bath,True
pieceOfFurniture,pieceOfFurniture-dbd61583-0b6b-494d-badb-98ac539ce774,icon,44,Fitted bath,True
pieceOfFurniture,pieceOfFurniture-5942dd7b-3edd-4f05-b01a-959ae15c48ce,model,72/kitchenCabinet.obj,Kitchen cabinet,True
pieceOfFurniture,pieceOfFurniture-5942dd7b-3edd-4f05-b01a-959ae15c48ce,icon,73,Kitchen cabinet,True
pieceOfFurniture,pieceOfFurniture-2a573692-9083-4ea9-8950-f7a3b26d6308,model,41/chest.obj,Chest,True
pieceOfFurniture,pieceOfFurniture-2a573692-9083-4ea9-8950-f7a3b26d6308,icon,42,Chest,True
pieceOfFurniture,pieceOfFurniture-ec1cb9ca-5d62-450a-a920-4fb0b6645878,model,96/wardrobe.obj,Wardrobe,True
pieceOfFurniture,pieceOfFurniture-ec1cb9ca-5d62-450a-a920-4fb0b6645878,icon,97,Wardrobe,True
light,light-c7af634d-aaad-40ec-9192-b09cb3915a83,model,49/workLamp.obj,Work lamp,True
light,light-c7af634d-aaad-40ec-9192-b09cb3915a83,icon,50,Work lamp,True
pieceOfFurniture,pieceOfFurniture-2826e84e-186a-4822-b1c6-ea867e669b68,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-2826e84e-186a-4822-b1c6-ea867e669b68,icon,81,Box,True
texture,,image,40,Beige fabric,True
doorOrWindow,doorOrWindow-2e2cf7a0-ba85-48d3-9527-51097448e822,model,82/fixedWindow85x123.obj,Fixed window,True
doorOrWindow,doorOrWindow-2e2cf7a0-ba85-48d3-9527-51097448e822,icon,83,Fixed window,True
doorOrWindow,doorOrWindow-c7b97944-0834-41db-a98c-26e308c75796,model,82/fixedWindow85x123.obj,Fixed window,True
doorOrWindow,doorOrWindow-c7b97944-0834-41db-a98c-26e308c75796,icon,83,Fixed window,True
doorOrWindow,doorOrWindow-1a6796e9-0784-4afd-af84-299257482205,model,38/window85x123.obj,Small window,True
doorOrWindow,doorOrWindow-1a6796e9-0784-4afd-af84-299257482205,icon,39,Small window,True
pieceOfFurniture,pieceOfFurniture-d7955d82-5922-4990-9102-d821dae8dd7b,model,36/toiletUnit.obj,Toilet unit,True
pieceOfFurniture,pieceOfFurniture-d7955d82-5922-4990-9102-d821dae8dd7b,icon,37,Toilet unit,True
pieceOfFurniture,pieceOfFurniture-36f1bd94-d6f1-4ae3-aa9b-d74029c1a7fc,model,34/kitchenUpperCabinet.obj,Kitchen upper cabinet,True
pieceOfFurniture,pieceOfFurniture-36f1bd94-d6f1-4ae3-aa9b-d74029c1a7fc,icon,35,Kitchen upper cabinet,True
pieceOfFurniture,pieceOfFurniture-dd9b6144-4983-4b27-b44e-2dd9e75ad9f0,model,32/flowers.obj,Flowers,True
pieceOfFurniture,pieceOfFurniture-dd9b6144-4983-4b27-b44e-2dd9e75ad9f0,icon,33,Flowers,True
doorOrWindow,doorOrWindow-64204aa7-7856-44d4-9d9c-3c5e2dd88b45,model,76/doubleWindow126x123.obj,Double small window,True
doorOrWindow,doorOrWindow-64204aa7-7856-44d4-9d9c-3c5e2dd88b45,icon,77,Double small window,True
doorOrWindow,doorOrWindow-121a00d5-29e2-4164-967b-a0d01b9ef3a2,model,76/doubleWindow126x123.obj,Double small window,True
doorOrWindow,doorOrWindow-121a00d5-29e2-4164-967b-a0d01b9ef3a2,icon,77,Double small window,True
pieceOfFurniture,pieceOfFurniture-bc2be844-84ef-4218-9ebd-c63e4b8101fa,model,30/flatTV.obj,Flat TV,True
pieceOfFurniture,pieceOfFurniture-bc2be844-84ef-4218-9ebd-c63e4b8101fa,icon,31,Flat TV,True
doorOrWindow,doorOrWindow-fde01204-d2ba-4cd8-963d-1eadd829238f,model,84/doorFrame.obj,Door frame,True
doorOrWindow,doorOrWindow-fde01204-d2ba-4cd8-963d-1eadd829238f,icon,85,Door frame,True
shelfUnit,shelfUnit-5c50da4d-9554-4d3c-9400-4f2f4c3b2326,model,28/bookcase.obj,Bookcase,True
shelfUnit,shelfUnit-5c50da4d-9554-4d3c-9400-4f2f4c3b2326,icon,29,Bookcase,True
shelfUnit,shelfUnit-ac5cde32-02e0-4e07-9c01-b00bdb438478,model,28/bookcase.obj,Bookcase,True
shelfUnit,shelfUnit-ac5cde32-02e0-4e07-9c01-b00bdb438478,icon,29,Bookcase,True
shelfUnit,shelfUnit-01dd5418-498b-4ebf-9009-63cafe1c27bd,model,28/bookcase.obj,Bookcase,True
shelfUnit,shelfUnit-01dd5418-498b-4ebf-9009-63cafe1c27bd,icon,29,Bookcase,True
shelfUnit,shelfUnit-92093408-754b-4475-9340-b73bb3ec8af3,model,28/bookcase.obj,Bookcase,True
shelfUnit,shelfUnit-92093408-754b-4475-9340-b73bb3ec8af3,icon,29,Bookcase,True
shelfUnit,shelfUnit-665dae37-031a-455b-8b53-40d8d092e96b,model,28/bookcase.obj,Bookcase,True
shelfUnit,shelfUnit-665dae37-031a-455b-8b53-40d8d092e96b,icon,29,Bookcase,True
shelfUnit,shelfUnit-01bb51a0-cdca-4756-ac2e-b4ee4989f29f,model,28/bookcase.obj,Bookcase,True
shelfUnit,shelfUnit-01bb51a0-cdca-4756-ac2e-b4ee4989f29f,icon,29,Bookcase,True
pieceOfFurniture,pieceOfFurniture-870e2dff-284e-4f45-ba32-bf2c462e3887,model,26/hotWaterRadiator.obj,Hot water radiator,True
pieceOfFurniture,pieceOfFurniture-870e2dff-284e-4f45-ba32-bf2c462e3887,icon,27,Hot water radiator,True
pieceOfFurniture,pieceOfFurniture-dcc7da6b-d6f5-4fdc-b648-161d63d70a4b,model,26/hotWaterRadiator.obj,Hot water radiator,True
pieceOfFurniture,pieceOfFurniture-dcc7da6b-d6f5-4fdc-b648-161d63d70a4b,icon,27,Hot water radiator,True
pieceOfFurniture,pieceOfFurniture-66fa79cd-a237-47b2-b0ff-e74426f06cb5,model,26/hotWaterRadiator.obj,Hot water radiator,True
pieceOfFurniture,pieceOfFurniture-66fa79cd-a237-47b2-b0ff-e74426f06cb5,icon,27,Hot water radiator,True
pieceOfFurniture,pieceOfFurniture-76d4bcef-5acf-4d88-9183-4d5fa50ddee5,model,26/hotWaterRadiator.obj,Hot water radiator,True
pieceOfFurniture,pieceOfFurniture-76d4bcef-5acf-4d88-9183-4d5fa50ddee5,icon,27,Hot water radiator,True
pieceOfFurniture,pieceOfFurniture-b56f0618-be0f-4295-8ad1-c799637a8f34,model,26/hotWaterRadiator.obj,Hot water radiator,True
pieceOfFurniture,pieceOfFurniture-b56f0618-be0f-4295-8ad1-c799637a8f34,icon,27,Hot water radiator,True
pieceOfFurniture,pieceOfFurniture-f939f568-add1-4c4a-baab-7a323877079d,model,32/flowers.obj,Flowers,True
pieceOfFurniture,pieceOfFurniture-f939f568-add1-4c4a-baab-7a323877079d,icon,33,Flowers,True
shelfUnit,shelfUnit-1b817e36-dd0f-4229-b3bd-a73e41e1acca,model,28/bookcase.obj,Bookcase,True
shelfUnit,shelfUnit-1b817e36-dd0f-4229-b3bd-a73e41e1acca,icon,29,Bookcase,True
shelfUnit,shelfUnit-7db9e5aa-8b12-4e30-9f24-577010963464,model,28/bookcase.obj,Bookcase,True
shelfUnit,shelfUnit-7db9e5aa-8b12-4e30-9f24-577010963464,icon,29,Bookcase,True
pieceOfFurniture,pieceOfFurniture-a09b1206-2e97-46da-a984-229940a1ab2c,model,94/squareTable.obj,Square table,True
pieceOfFurniture,pieceOfFurniture-a09b1206-2e97-46da-a984-229940a1ab2c,icon,95,Square table,True
pieceOfFurniture,pieceOfFurniture-2060447c-384a-4da7-b7d5-0e7e72c96eb7,model,86/texturableCylinder0.obj,Cylinder,True
pieceOfFurniture,pieceOfFurniture-2060447c-384a-4da7-b7d5-0e7e72c96eb7,icon,87,Cylinder,True
pieceOfFurniture,pieceOfFurniture-90a5304d-4aa1-46b9-8904-77f284873ba3,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-90a5304d-4aa1-46b9-8904-77f284873ba3,icon,81,Box,True
texture,,image,25,Oak,True
pieceOfFurniture,pieceOfFurniture-f094bb1b-aff8-4745-b60e-2c507ac9f2a8,model,23/bed.obj,Bed,True
pieceOfFurniture,pieceOfFurniture-f094bb1b-aff8-4745-b60e-2c507ac9f2a8,icon,24,Bed,True
texture,,image,40,Beige fabric,True
texture,,image,40,Beige fabric,True
pieceOfFurniture,pieceOfFurniture-5a3ab0af-beb9-4114-986c-2200f7455a62,model,21/dishwasher.obj,Dishwasher,True
pieceOfFurniture,pieceOfFurniture-5a3ab0af-beb9-4114-986c-2200f7455a62,icon,22,Dishwasher,True
pieceOfFurniture,pieceOfFurniture-f16e51b5-e9cf-4a6a-ad4d-172ede1c058e,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-f16e51b5-e9cf-4a6a-ad4d-172ede1c058e,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-54804055-d0aa-4684-9aaf-736a92830ae9,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-54804055-d0aa-4684-9aaf-736a92830ae9,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-7773f257-0a58-46b1-aacf-c7f14d98e5df,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-7773f257-0a58-46b1-aacf-c7f14d98e5df,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-2d258abb-9bbf-4ec4-9df5-2d2d9c1016f2,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-2d258abb-9bbf-4ec4-9df5-2d2d9c1016f2,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-24d8cc68-5c98-404a-8bc3-f69ba3f123d0,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-24d8cc68-5c98-404a-8bc3-f69ba3f123d0,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-9b4f8b42-fd25-4fc2-abfb-6803f64b72cf,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-9b4f8b42-fd25-4fc2-abfb-6803f64b72cf,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-29b575b4-5449-421a-a426-e817657882fc,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-29b575b4-5449-421a-a426-e817657882fc,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-02119a78-7a0c-4d50-8aeb-5bbb5e541a5f,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-02119a78-7a0c-4d50-8aeb-5bbb5e541a5f,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-af814c71-ee8d-49ba-8458-5be04221d657,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-af814c71-ee8d-49ba-8458-5be04221d657,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-9e4cb3f8-ddcc-421e-a73b-9df63d6c6a91,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-9e4cb3f8-ddcc-421e-a73b-9df63d6c6a91,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-43826a6c-c793-463d-b4b9-baebf15331f7,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-43826a6c-c793-463d-b4b9-baebf15331f7,icon,81,Box,True
