logical_pov_id,room,purpose,derived_from_master_camera,candidate_confidence,recommended_stored_camera_name,camera_action,notes
M-06,MARKET,Market contact desk,Corridor,MEDIUM,HF M-06 — contact-desk,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-01,PROFILE SUITE,Profile foyer,Bedroom #2,LOW,HF P-01 — perk-portfolio,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-02,PROFILE SUITE,Messages station,Bedroom #2,LOW,HF P-02 — message-terminal,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-03,PROFILE SUITE,Contracts station,Bedroom #2,LOW,HF P-03 — contracts-folder,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-04,PROFILE SUITE,Support station,Bedroom #2,LOW,HF P-04 — help-desk,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-05,PROFILE SUITE,Listing dossier/book,Bedroom #2,LOW,HF P-05 — listing-book,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-06,PROFILE SUITE,Wanted station,Bedroom #2,LOW,HF P-06 — wanted-notebook,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-07,PROFILE SUITE,Saved properties station,Bedroom #2,LOW,HF P-07 — saved-properties-cabinet,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-08,PROFILE SUITE,Saved wanted station,Bedroom #2,LOW,HF P-08 — saved-wanted-cabinet,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-09,PROFILE SUITE,Reviews station,Bedroom #2,LOW,HF P-09 — review-ledger,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-10,PROFILE SUITE,Government housing station,Bedroom #2,LOW,HF P-10 — government-housing-desk,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-11,PROFILE SUITE,Account identity console,Bedroom #2,LOW,HF P-11 — account-console,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
P-12,PROFILE SUITE,Broker HQ threshold,Bedroom #2,LOW,HF P-12 — broker-gate,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
LGL-01,REFERENCE,Privacy archive,Kitchen,LOW,HF LGL-01 — legal-library,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
LGL-02,REFERENCE,legal-terms,Kitchen,LOW,HF LGL-02 — legal-terms,CREATE_AND_VISUALLY_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
G-01,REFERENCE,Government housing guide,Kitchen,LOW,HF G-01 — government-info-desk,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
B-01,BROKER HQ,Broker workspace,Garage,LOW,HF B-01 — broker-desk,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
B-02,BROKER HQ,Request queue,Garage,LOW,HF B-02 — request-board,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
B-03,BROKER HQ,Service workflow,Garage,LOW,HF B-03 — service-board,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
B-04,BROKER HQ,Broker-specific map,Garage,LOW,HF B-04 — intelligence-wall,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
B-06,BROKER HQ,Service pin management,Garage,LOW,HF B-06 — service-pin-console,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
A-01,OPERATIONS,Verification/KYC,Garage,LOW,HF A-01 — approval-desk,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
A-02,OPERATIONS,Moderator operations hero,Garage,LOW,HF A-02 — moderation-board,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
A-03,OPERATIONS,Staff operations hero,Garage,LOW,HF A-03 — support-desk,DUPLICATE_MASTER_CAMERA_AND_TUNE,Logical POV is authoritative; Sweet Home 3D camera is the physical implementation.
