index,object_id,physical_object,room,zone,route,roles,feature,interaction,ui_mount,state,authority,animation_hook,performance_tier,fallback,status,evidence
22,saved-properties-cabinet,Saved Properties Cabinet,PROFILE SUITE,P-07,profile.html,"seeker,broker",Saved properties,open-drawer,saved-properties-ui,saved/loading/empty,data layer,cabinet-open,Tier 1,Saved properties tab,MAPPED,profile.html
23,saved-wanted-cabinet,Saved Wanted Cabinet,PROFILE SUITE,P-08,profile.html,"owner,broker",Saved wanted,open-drawer,saved-wanted-ui,saved/loading/empty,data layer,cabinet-open,Tier 1,Saved wanted tab,MAPPED,profile.html
24,review-ledger,Review Ledger,PROFILE SUITE,P-09,profile.html,"seeker,owner,broker",Reviews/ratings,open-panel,reviews-ui,review state,review/data layer,ledger-open,Tier 1,Reviews tab,MAPPED,profile.html
25,government-housing-desk,Government Housing Desk,PROFILE SUITE,P-10,profile.html,"seeker,owner",Government housing,open-reference,profile-gov-housing,document state,content layer,desk-open,Tier 1-2,Government housing panel,MAPPED,profile.html
26,broker-gate,Broker Gate,PROFILE SUITE,P-12,profile.html,broker,Broker HQ entry,navigate,broker-door-control,role check/loading/denied,route/access layer,door-open,Tier 1,Normal Broker HQ link,MAPPED,profile.html
27,market-directory,Market Directory,MARKET,M-01,market.html,"guest,seeker,owner",Market orientation,open-guide,market-guide,guide/open,content layer,directory-open,Tier 1,Market guide,MAPPED,market.html
28,market-map-table,Market Map Table,MARKET,M-02,market.html,"seeker,owner",Explore map,pan/zoom/select,market-map-ui,viewport/selection/loading,MapLibre/map-data layer,map-interaction,Tier 1-3,Map controls,MAPPED,market.html
29,filter-cabinet,Filter Cabinet,MARKET,M-03,market.html,"seeker,owner",Filter/sort discovery,open-drawer,market-filter-ui,filter state,query/data layer,drawer-open,Tier 1,Filter controls,MAPPED,market.html
30,property-display-wall,Property Display Wall,MARKET,M-04,market.html,seeker,Property discovery cards,select-card,market-discovery-rail,selection/loading/empty,data layer,card-select,Tier 1-2,Discovery cards,MAPPED,market.html
31,wanted-display-wall,Wanted Display Wall,MARKET,M-04,market.html,owner,Wanted discovery cards,select-card,market-discovery-rail,selection/loading/empty,data layer,card-select,Tier 1-2,Discovery cards,MAPPED,market.html
32,property-dossier,Property Dossier,MARKET,M-05,market.html,"seeker,owner",Inspect selected property,open-dossier,market-expanded-card,selected/loading/error,data layer,dossier-open,Tier 1-2,Expanded card/modal,MAPPED,market.html
33,market-contact-desk,Market Contact Desk,MARKET,M-06,market.html,"seeker,owner",Contact/listing assistance entry,open-panel,market-contact-ui,form/loading/success/error,contact/contracts layer,desk-open,Tier 1,Contact UI,MAPPED,market.html
34,broker-desk,Broker Desk,BROKER HQ,B-01,broker-hq.html,broker,Broker identity/workspace,open-panel,bhq-home,dashboard/loading,broker data layer,desk-open,Tier 1,Broker HQ tabs,MAPPED,broker-hq.html
35,broker-request-board,Broker Request Board,BROKER HQ,B-02,broker-hq.html,broker,Incoming requests,open-panel,bhq-btn-new,request/loading/error,broker request layer,board-open,Tier 1-2,Request panel,MAPPED,broker-hq.html
36,broker-service-board,Broker Service Board,BROKER HQ,B-03/B-06,broker-hq.html,broker,Service area/pins,open-panel,bhq-tab-pins,service state,broker/data layer,board-open,Tier 1-2,Broker service controls,MAPPED,broker-hq.html
37,broker-intelligence-map,Broker Intelligence Map,BROKER HQ,B-04,broker-hq.html,broker,Broker map/near-you,pan/zoom/select,bhq-map,viewport/selection,broker/map layer,map-interaction,Tier 1-3,Broker map UI,MAPPED,broker-hq.html
38,broker-discovery-wall,Broker Discovery Wall,BROKER HQ,B-05,broker-hq.html,broker,Discovered property/wanted cards,select/expand,bhq-discovery,selection/filter,broker/data layer,wall-interaction,Tier 1-3,Discovery rail,MAPPED,broker-hq.html
39,admin-approval-desk,Admin Approval Desk,OPERATIONS,A-01,admin.html,admin,Identity/KYC approvals,review/approve,admin-panel-verifications,queue/loading/decision,admin callable/backend,desk-open,Tier 1,Admin verification panel,MAPPED,admin.html
40,admin-kyc-lockbox,KYC Registry Lockbox,OPERATIONS,A-01,admin.html,admin,KYC registry,search/review,admin-panel-kyc-registry,search/loading/error,admin KYC backend,lockbox-open,Tier 1,KYC registry panel,MAPPED,admin.html
41,admin-orders-ledger,Admin Orders Ledger,OPERATIONS,A-01,admin.html,admin,Orders/payment operations,search/review,admin-panel-orders,loading/results,payment/order layer,ledger-open,Tier 1,Orders panel,MAPPED,admin.html
42,admin-user-registry,User Registry,OPERATIONS,A-01,admin.html,admin,User management,search/manage,admin-user-management,loading/results,admin user backend,registry-open,Tier 1,Users panel,MAPPED,admin.html
43,admin-boost-console,Boost Console,OPERATIONS,A-01,admin.html,admin,Boost/capacity operations,review/manage,admin-boosts,loading/results,boost backend,console-open,Tier 1,Boost panel,MAPPED,admin.html
44,moderation-board,Moderation Board,OPERATIONS,A-02,moderator.html,moderator,Listing content moderation,review/action,admin-panel-properties,loading/results/decision,moderation backend,board-open,Tier 1,Properties moderation panel,MAPPED,moderator.html
45,moderator-payment-ledger,Moderator Payment Ledger,OPERATIONS,A-02,moderator.html,moderator,Payment/order truth,review/action,admin-panel-orders,loading/results/decision,payment backend,ledger-open,Tier 1,Orders panel,MAPPED,moderator.html
46,moderator-wanted-board,Moderator Wanted Board,OPERATIONS,A-02,moderator.html,moderator,Wanted moderation,review/action,admin-panel-wanted,loading/results/decision,moderation backend,board-open,Tier 1,Wanted panel,MAPPED,moderator.html
47,moderator-contracts-desk,Moderator Contracts Desk,OPERATIONS,A-02,moderator.html,moderator,Contract oversight,review/action,admin-panel-contracts,loading/results/decision,contract backend,desk-open,Tier 1,Contracts panel,MAPPED,moderator.html
48,staff-support-desk,Staff Support Desk,OPERATIONS,A-03,staff.html,staff,Support operations,search/action,admin-panel-support,loading/results/decision,support backend,desk-open,Tier 1,Support panel,MAPPED,staff.html
49,staff-reports-board,Staff Reports Board,OPERATIONS,A-03,staff.html,staff,Reports,search/action,admin-panel-reports,loading/results/decision,reports backend,board-open,Tier 1,Reports panel,MAPPED,staff.html
50,staff-orders-ledger,Staff Orders Ledger,OPERATIONS,A-03,staff.html,staff,Order/package references,search/review,admin-panel-orders,loading/results,orders layer,ledger-open,Tier 1,Orders panel,MAPPED,staff.html
51,staff-user-lookup,Staff User Lookup,OPERATIONS,A-03,staff.html,staff,User lookup,search,staff-user-lookup,loading/results,user lookup backend,lookup-open,Tier 1,User lookup panel,MAPPED,staff.html
52,staff-alerts-console,Staff Alerts Console,OPERATIONS,A-03,staff.html,staff,Alerts,review/action,staff-alerts,loading/results,alerts layer,console-open,Tier 1,Alerts panel,MAPPED,staff.html
53,government-reference-desk,Government Reference Desk,REFERENCE,G-01,financing.html,public,Government housing guide,open-reference,gov-finance-page,document state,content layer,desk-open,Tier 1,HTML guide,MAPPED,financing.html
54,legal-library,Legal Archive,REFERENCE,LGL-01/LGL-02,privacy.html|terms.html,public,Privacy and Terms,open-reference,legal-card,document state,legal content layer,library-open,Tier 1,HTML legal pages,MAPPED,privacy.html|terms.html
55,start-cta,Start Console,MAIN HALL,H-09,index.html,public,Start / return CTA,navigate,home-start-cta,idle/focus/navigation,route layer,cta-open,Tier 1,Normal HTML links,RESPONSE-MAPPED,index.html
56,credits-wall,Credits Wall,MAIN HALL,H-09,index.html,public,Credits / attribution,open-external-link,credits-ui,idle/focus/external-link,content layer,short-fade,Tier 0,Normal attribution links,RESPONSE-MAPPED,index.html
