level,door_name,door_id,physical_adjacency,physical_confidence,application_evidence,classification,reason
level0,Door,doorOrWindow-5a9a4d99-8766-4176-8fa6-68a201410887,room-827607f6-2341-4fed-b6e2-d6114aa32093 ↔ room-06eb2ac4-2276-41f1-9991-070a76a486ee,MEDIUM,NO_DIRECT_PHYSICAL_BINDING,physical_candidate_unbound,"Application has logical destinations/camera/door contracts, but no current contract binds this census door ID to a named runtime transition."
level0,Door,doorOrWindow-217f13c4-dfdd-4d43-9428-5f495a8d88ed,room-1b7f36f8-0b17-4dbd-abc6-5ce93d426c81 ↔ room-827607f6-2341-4fed-b6e2-d6114aa32093,MEDIUM,NO_DIRECT_PHYSICAL_BINDING,physical_candidate_unbound,"Application has logical destinations/camera/door contracts, but no current contract binds this census door ID to a named runtime transition."
add-level0,Door frame,add-doorOrWindow-6481b0f1-302f-4d58-90b6-bca6aefbdbf8,nan ↔ Garage,MEDIUM,NOT_ROUTE_ELIGIBLE,excluded_or_ambiguous,Not an accepted adjacency candidate in G1 census.
add-level1,Rounded door,add-doorOrWindow-eb59f607-28de-4696-b9c8-3300bb6b5d5b,Bathroom ↔ add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,HIGH,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level1,Rounded door,add-doorOrWindow-d0edcf0e-00ca-4e67-a9c0-17de0d49ac5c,add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3 ↔ add-room-857f2dcd-e10c-4914-bcc2-6f90198cdfb4,HIGH,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level1,Rounded door,add-doorOrWindow-898dba25-8ce4-4088-9d56-2b7bf17d118e,add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3 ↔ Bedrom #3,HIGH,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level0,Front door,add-doorOrWindow-20899be4-b9af-4664-9c62-53e8a180a001,Living Room ↔ nan,MEDIUM,NOT_ROUTE_ELIGIBLE,excluded_or_ambiguous,Not an accepted adjacency candidate in G1 census.
add-level0,Door,add-doorOrWindow-9df41ae2-c632-4510-a40d-f15c0a40fb83,add-room-6530c4e3-46ae-4540-8450-058d3e106505 | Hall ↔ add-room-66035ea2-1de4-44b8-8ef2-0242ef84887d,HIGH,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level0,Open door,add-doorOrWindow-c7805654-0e93-4b58-9a34-5ee1ad3f5183,Kitchen ↔ add-room-6530c4e3-46ae-4540-8450-058d3e106505 | Hall,MEDIUM,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level0,Open door,add-doorOrWindow-6ecf091c-549e-4dfa-9716-1a8a5b6b15c3,Office ↔ Hall,MEDIUM,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level0,Front door,add-doorOrWindow-e54939b2-21fb-46ad-89c0-19c2bb000368,add-room-ced5384e-1aa3-4c9e-9b11-8d6121d3d3fc | Hall ↔ add-room-ced5384e-1aa3-4c9e-9b11-8d6121d3d3fc,HIGH,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level1,Door,add-doorOrWindow-b783d1fa-2085-4d12-84fd-1ae71ba4dcf2,Bedroom #2 ↔ add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0 | add-room-d459f24e-bbca-48ff-ad88-c50674e50e39 | Bedroom #2,HIGH,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level1,Door,add-doorOrWindow-236b4260-cf0f-4f5c-a237-0ae033c4a8c0,Bathroom ↔ add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0 | add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,HIGH,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level1,Door,add-doorOrWindow-fe38ac2f-3292-4794-ae12-9d6bb580e1e5,Bedroom #1 ↔ add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,HIGH,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level1,Door,add-doorOrWindow-ff66e0d4-90dc-4ab6-b304-7a99091ce63a,add-room-c8146434-9569-4080-8d3a-350d81aef4e9 ↔ add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0 | add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,HIGH,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level1,Door,add-doorOrWindow-e2f8a381-399f-4447-92a3-28d1e8db004d,Dressing ↔ Bedroom #1,HIGH,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
add-level1,Open door,add-doorOrWindow-16d223b7-d35a-4665-837a-ed5b4bd8097c,Bedroom #3 ↔ add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0 | add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,MEDIUM,NO_DIRECT_APPLICATION_ROUTE,physical_only_candidate,Current HTML/JS navigation names application destinations but does not identify this additional-model door as a runtime route endpoint.
