edge_id,level,door_id,door_name,node_a,node_b,room_a,room_b,confidence,source_status,route_validation
add-level0::add-doorOrWindow-e54939b2-21fb-46ad-89c0-19c2bb000368::Hall::add-room-ced5384e-1aa3-4c9e-9b11-8d6121d3d3fc,add-level0,add-doorOrWindow-e54939b2-21fb-46ad-89c0-19c2bb000368,Front door,add-level0::Hall,add-level0::add-room-ced5384e-1aa3-4c9e-9b11-8d6121d3d3fc,Hall,add-room-ced5384e-1aa3-4c9e-9b11-8d6121d3d3fc,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-b783d1fa-2085-4d12-84fd-1ae71ba4dcf2::Bedroom_2::add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,add-level1,add-doorOrWindow-b783d1fa-2085-4d12-84fd-1ae71ba4dcf2,Door,add-level1::Bedroom_2,add-level1::add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,Bedroom #2,add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-b783d1fa-2085-4d12-84fd-1ae71ba4dcf2::Bedroom_2::add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,add-level1,add-doorOrWindow-b783d1fa-2085-4d12-84fd-1ae71ba4dcf2,Door,add-level1::Bedroom_2,add-level1::add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,Bedroom #2,add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-236b4260-cf0f-4f5c-a237-0ae033c4a8c0::Bathroom::add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,add-level1,add-doorOrWindow-236b4260-cf0f-4f5c-a237-0ae033c4a8c0,Door,add-level1::Bathroom,add-level1::add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,Bathroom,add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-236b4260-cf0f-4f5c-a237-0ae033c4a8c0::Bathroom::add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,add-level1,add-doorOrWindow-236b4260-cf0f-4f5c-a237-0ae033c4a8c0,Door,add-level1::Bathroom,add-level1::add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,Bathroom,add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-fe38ac2f-3292-4794-ae12-9d6bb580e1e5::Bedroom_1::add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,add-level1,add-doorOrWindow-fe38ac2f-3292-4794-ae12-9d6bb580e1e5,Door,add-level1::Bedroom_1,add-level1::add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,Bedroom #1,add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-ff66e0d4-90dc-4ab6-b304-7a99091ce63a::add-room-c8146434-9569-4080-8d3a-350d81aef4e9::add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,add-level1,add-doorOrWindow-ff66e0d4-90dc-4ab6-b304-7a99091ce63a,Door,add-level1::add-room-c8146434-9569-4080-8d3a-350d81aef4e9,add-level1::add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,add-room-c8146434-9569-4080-8d3a-350d81aef4e9,add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-ff66e0d4-90dc-4ab6-b304-7a99091ce63a::add-room-c8146434-9569-4080-8d3a-350d81aef4e9::add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,add-level1,add-doorOrWindow-ff66e0d4-90dc-4ab6-b304-7a99091ce63a,Door,add-level1::add-room-c8146434-9569-4080-8d3a-350d81aef4e9,add-level1::add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,add-room-c8146434-9569-4080-8d3a-350d81aef4e9,add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-e2f8a381-399f-4447-92a3-28d1e8db004d::Dressing::Bedroom_1,add-level1,add-doorOrWindow-e2f8a381-399f-4447-92a3-28d1e8db004d,Door,add-level1::Dressing,add-level1::Bedroom_1,Dressing,Bedroom #1,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-16d223b7-d35a-4665-837a-ed5b4bd8097c::Bedroom_3::add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,add-level1,add-doorOrWindow-16d223b7-d35a-4665-837a-ed5b4bd8097c,Open door,add-level1::Bedroom_3,add-level1::add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,Bedroom #3,add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,MEDIUM,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-16d223b7-d35a-4665-837a-ed5b4bd8097c::Bedroom_3::add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,add-level1,add-doorOrWindow-16d223b7-d35a-4665-837a-ed5b4bd8097c,Open door,add-level1::Bedroom_3,add-level1::add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,Bedroom #3,add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,MEDIUM,ADJACENCY_CANDIDATE,NOT_VALIDATED
